cnae_name;cnae_id
Agricultura, Pecuária E Serviços Relacionados;1
Produção Florestal;2
Pesca E Aqüicultura;3
Extração De Carvão Mineral;5
Extração De Petróleo E Gás Natural;6
Extração De Minerais Metálicos;7
Extração De Minerais Não-Metálicos;8
Atividades De Apoio À Extração De Minerais;9
Fabricação De Produtos Alimentícios;10
Fabricação De Bebidas;11
Fabricação De Produtos Do Fumo;12
Fabricação De Produtos Têxteis;13
Confecção De Artigos Do Vestuário E Acessórios;14
Preparação De Couros E Fabricação De Artefatos De Couro, Artigos Para Viagem E Calçados;15
Fabricação De Produtos De Madeira;16
Fabricação De Celulose, Papel E Produtos De Papel;17
Impressão E Reprodução De Gravações;18
Fabricação De Coque, De Produtos Derivados Do Petróleo E De Biocombustíveis;19
Fabricação De Produtos Químicos;20
Fabricação De Produtos Farmoquímicos E Farmacêuticos;21
Fabricação De Produtos De Borracha E De Material Plástico;22
Fabricação De Produtos De Minerais Não-Metálicos;23
Metalurgia;24
Fabricação De Produtos De Metal, Exceto Máquinas E Equipamentos;25
Fabricação De Equipamentos De Informática, Produtos Eletrônicos E Ópticos;26
Fabricação De Máquinas, Aparelhos E Materiais Elétricos;27
Fabricação De Máquinas E Equipamentos;28
Fabricação De Veículos Automotores, Reboques E Carrocerias;29
Fabricação De Outros Equipamentos De Transporte, Exceto Veículos Automotores;30
Fabricação De Móveis;31
Fabricação De Produtos Diversos;32
Manutenção, Reparação E Instalação De Máquinas E Equipamentos;33
Eletricidade, Gás E Outras Utilidades;35
Captação, Tratamento E Distribuição De Água;36
Esgoto E Atividades Relacionadas;37
Coleta, Tratamento E Disposição De Resíduos;38
Descontaminação E Outros Serviços De Gestão De Resíduos;39
Construção De Edifícios;41
Obras De Infra-Estrutura;42
Serviços Especializados Para Construção;43
Comércio E Reparação De Veículos Automotores E Motocicletas;45
Comércio Por Atacado, Exceto Veículos Automotores E Motocicletas;46
Comércio Varejista;47
Transporte Terrestre;49
Transporte Aquaviário;50
Transporte Aéreo;51
Armazenamento E Atividades Auxiliares Dos Transportes;52
Correio E Outras Atividades De Entrega;53
Alojamento;55
Alimentação;56
Edição E Edição Integrada À Impressão;58
Atividades Cinematográficas, Produção De Vídeos E De Programas De Televisão;59
Atividades De Rádio E De Televisão;60
Telecomunicações;61
Atividades Dos Serviços De Tecnologia Da Informação;62
Atividades De Prestação De Serviços De Informação;63
Atividades De Serviços Financeiros;64
Seguros, Resseguros, Previdência Complementar E Planos De Saúde;65
Atividades Auxiliares Dos Serviços Financeiros, Seguros, Previdência Complementar E Planos De Saúde;66
Atividades Imobiliárias;68
Atividades Jurídicas, De Contabilidade E De Auditoria;69
Atividades De Sedes De Empresas E De Consultoria Em Gestão Empresarial;70
Serviços De Arquitetura E Engenharia;71
Pesquisa E Desenvolvimento Científico;72
Publicidade E Pesquisa De Mercado;73
Outras Atividades Profissionais, Científicas E Técnicas;74
Atividades Veterinárias;75
Aluguéis Não-Imobiliários E Gestão De Ativos Intangíveis Não-Financeiros;77
Seleção, Agenciamento E Locação De Mão-De-Obra;78
Agências De Viagens, Operadores Turísticos E Serviços De Reservas;79
Atividades De Vigilância, Segurança E Investigação;80
Serviços Para Edifícios E Atividades Paisagísticas;81
Serviços De Escritório, De Apoio Administrativo E Outros Serviços Prestados Às Empresas;82
Administração Pública, Defesa E Seguridade Social;84
Educação;85
Atividades De Atenção À Saúde Humana;86
Atividades De Atenção À Saúde Humana Integradas Com Assistência Social, Prestadas Em Residências Coletivas E Particulares;87
Serviços De Assistência Social Sem Alojamento;88
Atividades Artísticas, Criativas E De Espetáculos;90
Atividades Ligadas Ao Patrimônio Cultural E Ambiental;91
Atividades De Exploração De Jogos De Azar E Apostas;92
Atividades Esportivas E De Recreação E Lazer;93
Atividades De Organizações Associativas;94
Reparação E Manutenção De Equipamentos De Informática E Comunicação E De Objetos Pessoais E Domésticos;95
Outras Atividades De Serviços Pessoais;96
Serviços Domésticos;97
Organismos Internacionais E Outras Instituições Extraterritoriais;99
